RXO2	RT2	AC2	CNL2	DEN2	CAL2	GR2	相对重心	变差方差根	平均中位数	平均斜率	标签
0.236	0.216	0.4	0.203	0.679	0.332	0.21	0.510147467	0.022181237	0.195842857	0.005606723	5
0.235	0.216	0.399	0.205	0.674	0.329	0.214	0.510147467	0.022181237	0.195842857	0.005606723	5
0.232	0.213	0.387	0.216	0.67	0.327	0.202	0.510147467	0.022181237	0.195842857	0.005606723	5
0.234	0.214	0.382	0.218	0.654	0.346	0.164	0.510147467	0.022181237	0.195842857	0.005606723	5
0.235	0.214	0.388	0.207	0.647	0.347	0.158	0.510147467	0.022181237	0.195842857	0.005606723	5
0.235	0.214	0.397	0.185	0.641	0.342	0.159	0.510147467	0.022181237	0.195842857	0.005606723	6
0.227	0.208	0.361	0.164	0.645	0.369	0.193	0.510147467	0.022181237	0.195842857	0.005606723	6
0.227	0.208	0.354	0.162	0.641	0.382	0.191	0.510147467	0.022181237	0.195842857	0.005606723	6
0.209	0.19	0.422	0.21	0.564	0.404	0.184	0.510147467	0.022181237	0.195842857	0.005606723	5
0.198	0.179	0.429	0.194	0.548	0.439	0.199	0.510147467	0.022181237	0.195842857	0.005606723	5
0.197	0.177	0.421	0.192	0.535	0.442	0.206	0.510147467	0.022181237	0.195842857	0.005606723	5
0.207	0.183	0.384	0.189	0.505	0.408	0.224	0.510147467	0.022181237	0.195842857	0.005606723	6
0.216	0.192	0.355	0.201	0.562	0.379	0.224	0.510147467	0.022181237	0.195842857	0.005606723	5
0.214	0.191	0.358	0.203	0.58	0.375	0.204	0.493838722	0.01665111	0.167533333	-0.007142857	5
0.211	0.187	0.373	0.195	0.602	0.368	0.166	0.493838722	0.01665111	0.167533333	-0.007142857	6
0.214	0.188	0.37	0.173	0.611	0.36	0.17	0.493838722	0.01665111	0.167533333	-0.007142857	7
0.21	0.174	0.403	0.168	0.643	0.349	0.173	0.493838722	0.01665111	0.167533333	-0.007142857	5
0.214	0.175	0.392	0.196	0.636	0.345	0.173	0.493838722	0.01665111	0.167533333	-0.007142857	5
0.221	0.181	0.372	0.184	0.627	0.34	0.151	0.521882742	0.03149406	0.131538462	0.023296703	7
0.239	0.198	0.328	0.161	0.618	0.334	0.118	0.521882742	0.03149406	0.131538462	0.023296703	6
0.269	0.226	0.301	0.149	0.632	0.33	0.109	0.521882742	0.03149406	0.131538462	0.023296703	6
0.38	0.327	0.243	0.13	0.733	0.331	0.123	0.521882742	0.03149406	0.131538462	0.023296703	7
0.428	0.427	0.208	0.186	0.406	0.184	0.296	0.524234423	0.075676609	0.373038462	0.070197802	7
